red,green,blue,Y,cblue,cred,class
173.013513,153.715868,132.119768,157.02390845499997,122.880232,81.98648700000001,0
152.512134,150.243794,147.449156,150.603438928,107.55084400000001,102.487866,0
154.657568,155.218797,151.306489,154.604986417,103.693511,100.342432,0
164.143032,163.188051,162.833089,163.43312465099999,92.166911,90.856968,0
155.820206,151.914366,148.833192,152.73095832400003,106.166808,99.17979399999999,0
187.203712,163.2177,136.301184,167.321034764,118.698816,67.796288,0
178.556117,165.979064,148.850159,167.786907677,106.14984100000001,76.443883,0
154.827975,148.590541,136.360722,149.0613344,118.63927799999999,100.17202499999999,0
159.787309,150.1698,137.051612,151.549961759,117.948388,95.212691,0
154.92058,146.332321,132.600602,147.334794475,122.39939799999999,100.07942,0
164.504092,143.23209,124.578357,147.465893036,130.42164300000002,90.49590799999999,0
155.878005,141.741702,126.346514,144.21340516499998,128.653486,99.121995,0
179.23574,159.687585,152.641152,164.72918998300003,102.358848,75.76426000000001,0
154.307737,147.624248,145.858131,149.42127387299996,109.14186900000001,100.692263,0
164.795142,149.169793,154.330743,154.43012065099998,100.66925699999999,90.204858,0
171.27435,158.321367,157.493768,162.099962631,97.50623200000001,83.72565,0
152.915865,142.856658,127.28942,144.089695761,127.71058,102.084135,0
156.879703,146.892806,128.473412,147.779077287,126.526588,98.120297,0
155.310318,141.416175,122.834223,143.45218122900002,132.165777,99.689682,0
159.365621,130.66192,110.986927,137.001377397,144.01307300000002,95.634379,0
159.708135,137.060014,120.609156,141.956404367,134.39084400000002,95.291865,0
161.823632,145.249211,129.75645,148.43878812500003,125.24355,93.176368,0
159.321178,144.171996,127.321532,146.780648522,127.678468,95.678822,0
160.324808,147.642615,128.47528,149.249514517,126.52472,94.67519200000001,0
173.109672,144.622956,129.846227,151.45593697799998,125.153773,81.89032800000001,0
172.992186,138.399177,125.55822,147.278617593,129.44178,82.007814,0
170.442034,147.811948,133.213762,152.91415050999998,121.786238,84.557966,0
162.983342,146.047874,131.889551,149.49753010999999,123.11044899999999,92.016658,0
156.92372,139.640783,125.812815,143.231992811,129.187185,98.07628,0
164.720693,135.122793,115.69036,141.75726773800002,139.30964,90.27930699999999,0
160.017829,135.85206,117.817538,141.021689423,137.182462,94.982171,0
176.112618,161.351838,149.920787,164.46217140599998,105.07921300000001,78.887382,0
169.632743,149.821704,139.336873,154.54993392699998,115.663127,85.367257,0
175.294943,154.352753,148.887546,159.991434212,106.11245400000001,79.70505700000001,0
183.535025,156.875218,147.398352,163.76613756899997,107.60164800000001,71.46497500000001,0
173.536221,149.948696,135.939856,155.404358215,119.06014400000001,81.46377899999999,0
192.475916,174.702399,162.596349,178.63659088300003,92.403651,62.52408399999999,0
